User_ID,Shipping_Address
C01,"Số 15, Đường Điện Biên Phủ, Quận 2, Thành phố Hồ Chí Minh"
C02,"Khu Công Nghiệp, Phường Thanh Xuân, Thành phố Hà Nội"
C03,"Số 10, Quốc lộ 1A, Xã Phúc Thọ, Thành phố Hà Nội"
C04,"Số 100, Đường Nguyễn Trãi, Phường Bãi Cháy, Tỉnh Quảng Ninh"
C05,"Số 8, Đường Lê Lợi, Xã Tiên Lãng, Thành phố Hải Phòng"
C06,"Khu Công Nghiệp, Quận 2, Tỉnh Lâm Đồng"
C07,"Số 12, Đường Trường Chinh, Phường Láng, Thành phố Hà Nội"
C08,"Số 12, Đường Trường Chinh, Quận 1, Tỉnh Cà Mau"
C09,"Số 8, Đường Lê Lợi, Phường Kỳ Sơn, Tỉnh Phú Thọ"
C10,"Số 100, Đường Nguyễn Trãi, Phường Quan Triều, Tỉnh Thái Nguyên"
C11,"Số 15, Đường Điện Biên Phủ, Xã Phong Thổ, Tỉnh Lai Châu"
C12,"Số 12, Đường Trường Chinh, Quận 1, Tỉnh Gia Lai"
C13,"Số 8, Đường Lê Lợi, Xã Ngọc Lặc, Tỉnh Thanh Hóa"
C14,"Số 100, Đường Nguyễn Trãi, Huyện Ngoại Ô, Tỉnh Lâm Đồng"
C15,"Số 12, Đường Trường Chinh, Phường Trung Tâm Huế, Thành phố Huế"
