User_ID,Phone,Password,First_Name,Last_Name
C01,0969813029,pwdC01,An,Huỳnh
C02,0980515353,pwdC02,Xuân,Huỳnh
C03,0916399691,pwdC03,Minh,Dương
C04,0980493691,pwdC04,Hải,Nguyễn
C05,0918805087,pwdC05,An,Phan
C06,0917057476,pwdC06,Em,Vũ
C07,0979335375,pwdC07,Khoa,Vũ
C08,0914363335,pwdC08,Hải,Phạm
C09,0972799441,pwdC09,Phong,Võ
C10,0933009870,pwdC10,Oanh,Lê
C11,0971781414,pwdC11,Giang,Nguyễn
C12,0983128332,pwdC12,Phúc,Hoàng
C13,0911858024,pwdC13,An,Lý
C14,0931534452,pwdC14,Vinh,Võ
C15,0917881174,pwdC15,Uyên,Dương
D01,0960841141,pwdD01,Dũng,Phan
D02,0947788543,pwdD02,Tài,Phạm
D03,0945975221,pwdD03,Ngọc,Nguyễn
D04,0962290400,pwdD04,Vinh,Nguyễn
D05,0944577702,pwdD05,Phong,Phạm
D06,0962230064,pwdD06,Giang,Đặng
D07,0960880591,pwdD07,Phúc,Bùi
D08,0947075006,pwdD08,Linh,Nguyễn
D09,0995213753,pwdD09,Phong,Võ
D10,0973927232,pwdD10,Châu,Bùi
D11,0932013894,pwdD11,Giang,Ngô
D12,0978163818,pwdD12,Em,Trần
D13,0940466424,pwdD13,Giang,Võ
D14,0944448362,pwdD14,Tài,Đặng
D15,0948034291,pwdD15,Tài,Nguyễn
S01,0957894624,pwdS01,Phúc,Nguyễn
S02,0956649070,pwdS02,Em,Đặng
S03,0980286454,pwdS03,Em,Nguyễn
S04,0912131839,pwdS04,Vinh,Ngô
S05,0973022924,pwdS05,Bình,Trần
S06,0998160902,pwdS06,Phúc,Lê
S07,0929875310,pwdS07,Tài,Lê
S08,0938459597,pwdS08,Giang,Huỳnh
S09,0948854515,pwdS09,Hải,Huỳnh
S10,0996343758,pwdS10,Linh,Trần
S11,0959639875,pwdS11,Bình,Phan
S12,0939814891,pwdS12,Em,Lê
S13,0968362859,pwdS13,Minh,Nguyễn
S14,0954631434,pwdS14,Ngọc,Huỳnh
S15,0997078206,pwdS15,Oanh,Nguyễn
